#processor,transistors,year,manufacturer,process,area
Core 2 Duo Wolfdale3M,230000000,2008,Intel,45 nm,83 mm²
Core i7 (Quad),731000000,2008,Intel,45 nm,263 mm²
POWER6,789000000,2007,IBM,65 nm,341 mm²
Six-core Opteron 2400,904000000,2009,AMD,45 nm,346 mm²
16-core SPARC T3,1000000000,2010,Sun/Oracle,40 nm,377 mm²
Quad-core + GPU Core i7,1160000000,2011,Intel,32 nm,216 mm²
Six-core Core i7 (Gulftown),1170000000,2010,Intel,32 nm,240 mm²
8-core POWER7 32M L3,1200000000,2010,IBM,45 nm,567 mm²
8-core AMD Bulldozer,1200000000,2012,AMD,32 nm,315 mm²
Quad-core + GPU AMD Trinity,1303000000,2012,AMD,32 nm,246 mm²
Quad-core z196[15],1400000000,2010,IBM,45 nm,512 mm²
Quad-core + GPU Core i7,1400000000,2012,Intel,22 nm,160 mm²
Dual-core Itanium 2,1700000000,2006,Intel,90 nm,596 mm²
Six-core Xeon 7400,1900000000,2008,Intel,45 nm,503 mm²
Quad-core Itanium Tukwila,2000000000,2010,Intel,65 nm,699 mm²
8-core POWER7+ 80 MB L3 cache,2100000000,2012,IBM,32 nm,567 mm²
Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP),2270000000,2011,Intel,32 nm,434 mm²
8-core Xeon Nehalem-EX,2300000000,2010,Intel,45 nm,684 mm²
10-core Xeon Westmere-EX,2600000000,2011,Intel,32 nm,512 mm²
Six-core zEC12,2750000000,2012,IBM,32 nm,597 mm²
8-core Itanium Poulson,3100000000,2012,Intel,32 nm,544 mm²
12-core POWER8,4200000000,2013,IBM,22 nm,650 mm²
15-core Xeon Ivy Bridge-EX,4310000000,2014,Intel,22 nm,541 mm²
62-core Xeon Phi,5000000000,2012,Intel,22 nm,
#Apple A7 (dual-core ARM64 mobile SoC),1000000000,2013,Apple,28 nm,102 mm²
Xbox One main SoC,5000000000,2013,Microsoft/AMD,28 nm,363 mm²
Apple A8 (dual-core ARM64 mobile SoC),2000000000,2014,Apple,20 nm,89 mm²
Apple A8X (tri-core ARM64 mobile SoC),3000000000,2014,Apple,20 nm,
Skylake K,1750000000,2015,Intel,14 nm,122 mm²
Iris Core i7 Broadwell-U,1900000000,2015,Intel,14 nm,133 mm²
IBM z13,3990000000,2015,IBM,22 nm,678 mm²
IBM z13 Storage Controller,7100000000,2015,IBM,22 nm,678 mm²
SPARC M7,10000000000,2015,Oracle,20 nm,   
Snapdragon 835,3000000000,2016,Qualcomm,10 nm,
i7 Broadwell-E 3,200000000,2016,Intel,14 nm,246 mm²
Apple A10 Fusion,3300000000,2016,Apple,16 nm,125 mm²
Broadwell-E5,7200000000,2016,Intel,14 nm,456 mm²
Xeon Phi,8000000000,2016,Intel,14 nm,683 mm²
Apple A11 Bionic,4300000000,2017,Apple,10 nm,89 mm²
8-core Ryzen,4800000000,2017,AMD,14 nm,192 mm²
IBM z14,6100000000,2017,IBM,14 nm,696 mm²
Xbox One X,7000000000,2017,Microsoft/AMD,16 nm,360 mm²
POWER9,8000000000,2017,IBM,14 nm,695 mm²
IBM z14,9700000000,2017,IBM,14 nm,696 mm²
Centriq 2400,18000000000,2017,Qualcomm,10 nm,398 mm2
32-core AMD Epyc,19200000000,2017,AMD,14 nm,768 mm2
